Tier,StrikeOffset,n_obs,Call_p25,Call_p50,Call_p75,Call_p90,Put_p25,Put_p50,Put_p75,Put_p90
0DTE,-3,112,907,2702,4798,7192,1702,3417,5631,7963
0DTE,-2,112,957,3206,4880,8133,1341,2609,4566,7911
0DTE,-1,112,1408,2638,5468,8002,794,2616,4326,7182
0DTE,0,112,1519,3357,5331,8985,865,2288,3990,7269
0DTE,1,112,1600,3030,5501,8199,507,1807,4449,7011
0DTE,2,112,1594,3148,5862,7917,418,1735,4138,5986
0DTE,3,112,1980,3334,4928,7978,136,1382,3798,7303
+1D_Regular,-3,89,326,785,1664,2867,536,879,1538,2978
+1D_Regular,-2,89,443,746,1154,2853,493,785,1568,2833
+1D_Regular,-1,89,457,914,1532,2291,316,829,1401,2154
+1D_Regular,0,89,495,950,1497,2928,352,645,1043,1665
+1D_Regular,1,89,512,1031,1517,2512,246,559,1128,1956
+1D_Regular,2,89,496,1015,1718,3175,115,678,1397,1815
+1D_Regular,3,89,521,933,1837,3044,55,458,860,1764
+1D_PreWeekly,-3,23,1964,2815,4938,12271,1694,2750,3341,4483
+1D_PreWeekly,-2,23,1759,2891,4509,8506,978,2937,4365,5367
+1D_PreWeekly,-1,23,1797,2339,3304,7446,979,2016,4875,8690
+1D_PreWeekly,0,23,1410,2632,4907,13093,1498,2901,4010,4592
+1D_PreWeekly,1,23,1194,2237,3778,9746,702,2931,5017,22004
+1D_PreWeekly,2,23,1624,2541,4744,9704,761,1986,2843,4450
+1D_PreWeekly,3,23,2162,2553,4247,6766,341,2348,4513,14951
EoW_Regular,-3,51,1002,2434,4088,7864,1465,2716,4400,9081
EoW_Regular,-2,51,1067,1556,2768,4037,821,1362,2691,4843
EoW_Regular,-1,51,1092,1731,3931,6032,905,1657,3078,10241
EoW_Regular,0,51,908,1627,2480,3995,732,1240,2165,2887
EoW_Regular,1,51,1028,1869,4168,6713,653,1163,2035,4474
EoW_Regular,2,51,1312,2681,7573,12191,569,1641,5334,10302
EoW_Regular,3,51,993,2047,3677,6470,425,768,1782,4822
EoW_MonthlyOpex,-3,15,1878,3020,3426,12615,874,2313,4976,10449
EoW_MonthlyOpex,-2,15,1927,3564,5959,25003,1209,2984,5327,9897
EoW_MonthlyOpex,-1,15,2216,2574,8398,15607,696,3459,4669,30014
EoW_MonthlyOpex,0,15,2912,4768,9906,40361,518,2008,4049,31895
EoW_MonthlyOpex,1,15,2047,2597,6836,30213,548,2042,3908,4697
EoW_MonthlyOpex,2,15,1838,2823,4124,7910,258,1167,4641,10716
EoW_MonthlyOpex,3,15,2870,4115,10045,27595,735,2021,4979,10705
