TradeDate,Expiration,Strike,Type,OptionSymbol,DTE,OpenInterest,Volume,Bid,Mid,Ask,Last,IV,Delta,Gamma,Theta,Vega,UnderlyingPrice
2025-09-18,2025-09-18,562,call,QQQ250918C00562000,0,21,11,31.64,33.555,35.47,34.53,,,,,,595.32
2025-09-18,2025-09-18,563,call,QQQ250918C00563000,0,2,0,30.64,32.62,34.6,19.78,,,,,,595.32
2025-09-18,2025-09-18,564,call,QQQ250918C00564000,0,22,7,29.64,31.62,33.6,31.91,,,,,,595.32
2025-09-18,2025-09-18,565,call,QQQ250918C00565000,0,211,11,28.64,30.62,32.6,31.53,,,,,,595.32
2025-09-18,2025-09-18,566,call,QQQ250918C00566000,0,4,3,28.11,29.52,30.93,27.63,,,,,,595.32
2025-09-18,2025-09-18,567,call,QQQ250918C00567000,0,25,22,27.1,28.675,30.25,28.75,,,,,,595.32
2025-09-18,2025-09-18,568,call,QQQ250918C00568000,0,212,206,26.1,27.615,29.13,28.08,,,,,,595.32
2025-09-18,2025-09-18,569,call,QQQ250918C00569000,0,27,31,25.09,26.325,27.56,27.28,,,,,,595.32
2025-09-18,2025-09-18,570,call,QQQ250918C00570000,0,117,140,24.09,25.325,26.56,25.87,,,,,,595.32
2025-09-18,2025-09-18,571,call,QQQ250918C00571000,0,12,4,23.08,24.685,26.29,25.4,,,,,,595.32
2025-09-18,2025-09-18,572,call,QQQ250918C00572000,0,45,11,23.33,23.515,23.7,24.36,,,,,,595.32
2025-09-18,2025-09-18,573,call,QQQ250918C00573000,0,68,29,22.33,22.515,22.7,22.6,,,,,,595.32
2025-09-18,2025-09-18,574,call,QQQ250918C00574000,0,47,12,21.33,21.515,21.7,21.28,,,,,,595.32
2025-09-18,2025-09-18,575,call,QQQ250918C00575000,0,98,26,20.33,20.515,20.7,20.45,,,,,,595.32
2025-09-18,2025-09-18,576,call,QQQ250918C00576000,0,70,45,19.33,19.515,19.7,19.92,,,,,,595.32
2025-09-18,2025-09-18,577,call,QQQ250918C00577000,0,114,116,18.33,18.515,18.7,18.52,,,,,,595.32
2025-09-18,2025-09-18,578,call,QQQ250918C00578000,0,330,234,17.33,17.515,17.7,17.67,,,,,,595.32
2025-09-18,2025-09-18,579,call,QQQ250918C00579000,0,307,170,16.33,16.515,16.7,16.85,,,,,,595.32
2025-09-18,2025-09-18,580,call,QQQ250918C00580000,0,719,306,15.33,15.515,15.7,15.5,,,,,,595.32
2025-09-18,2025-09-18,581,call,QQQ250918C00581000,0,457,255,14.33,14.515,14.7,14.47,,,,,,595.32
2025-09-18,2025-09-18,582,call,QQQ250918C00582000,0,431,243,13.33,13.515,13.7,13.54,,,,,,595.32
2025-09-18,2025-09-18,583,call,QQQ250918C00583000,0,1051,431,12.33,12.515,12.7,12.56,,,,,,595.32
2025-09-18,2025-09-18,584,call,QQQ250918C00584000,0,1252,406,11.33,11.515,11.7,11.5,,,,,,595.32
2025-09-18,2025-09-18,585,call,QQQ250918C00585000,0,1555,1124,10.34,10.525,10.71,10.58,,,,,,595.32
2025-09-18,2025-09-18,586,call,QQQ250918C00586000,0,1465,749,9.11,9.395,9.68,9.71,,,,,,595.32
2025-09-18,2025-09-18,587,call,QQQ250918C00587000,0,2651,1734,8.35,8.535,8.72,8.95,,,,,,595.32
2025-09-18,2025-09-18,588,call,QQQ250918C00588000,0,6128,2577,7.36,7.54,7.72,7.58,,,,,,595.32
2025-09-18,2025-09-18,589,call,QQQ250918C00589000,0,3355,3034,6.36,6.535,6.71,6.6,,,,,,595.32
2025-09-18,2025-09-18,590,call,QQQ250918C00590000,0,5979,7533,5.43,5.57,5.71,5.51,,,,,,595.32
2025-09-18,2025-09-18,591,call,QQQ250918C00591000,0,5251,6569,4.36,4.535,4.71,4.4,,,,,,595.32
2025-09-18,2025-09-18,592,call,QQQ250918C00592000,0,10876,8068,3.38,3.54,3.7,3.67,,,,,,595.32
2025-09-18,2025-09-18,593,call,QQQ250918C00593000,0,4220,15053,2.36,2.535,2.71,2.52,,,,,,595.32
2025-09-18,2025-09-18,594,call,QQQ250918C00594000,0,6397,33201,1.39,1.47,1.55,1.6,,,,,,595.32
2025-09-18,2025-09-18,595,call,QQQ250918C00595000,0,7327,98088,0.52,0.555,0.59,0.57,,,,,,595.32
2025-09-18,2025-09-18,596,call,QQQ250918C00596000,0,11623,199020,0.02,0.025,0.03,0.04,,,,,,595.32
2025-09-18,2025-09-18,597,call,QQQ250918C00597000,0,10210,300933,0.0,0.005,0.01,0.01,,,,,,595.32
2025-09-18,2025-09-18,598,call,QQQ250918C00598000,0,6260,193510,0.0,0.005,0.01,0.01,,,,,,595.32
2025-09-18,2025-09-18,599,call,QQQ250918C00599000,0,879,78083,0.0,0.005,0.01,0.01,,,,,,595.32
