TradeDate,Expiration,Strike,Type,OptionSymbol,DTE,OpenInterest,Volume,Bid,Mid,Ask,Last,IV,Delta,Gamma,Theta,Vega,UnderlyingPrice
2026-02-18,2026-02-18,575,call,QQQ260218C00575000,0,397,373,28.47,30.45,32.43,29.37,,,,,,605.79
2026-02-18,2026-02-18,579,call,QQQ260218C00579000,0,0,2,24.39,26.41,28.43,30.61,,,,,,605.79
2026-02-18,2026-02-18,580,call,QQQ260218C00580000,0,86,83,23.47,25.45,27.43,24.75,,,,,,605.79
2026-02-18,2026-02-18,581,call,QQQ260218C00581000,0,0,11,22.39,24.41,26.43,27.81,,,,,,605.79
2026-02-18,2026-02-18,582,call,QQQ260218C00582000,0,1,6,23.26,23.44,23.62,22.53,,,,,,605.79
2026-02-18,2026-02-18,583,call,QQQ260218C00583000,0,1,10,22.26,22.44,22.62,18.41,,,,,,605.79
2026-02-18,2026-02-18,584,call,QQQ260218C00584000,0,5,1,21.26,21.44,21.62,20.03,,,,,,605.79
2026-02-18,2026-02-18,585,call,QQQ260218C00585000,0,78,109,20.25,20.43,20.61,18.57,,,,,,605.79
2026-02-18,2026-02-18,586,call,QQQ260218C00586000,0,3,2,19.26,19.44,19.62,21.64,,,,,,605.79
2026-02-18,2026-02-18,587,call,QQQ260218C00587000,0,14,0,18.26,18.44,18.62,14.49,,,,,,605.79
2026-02-18,2026-02-18,588,call,QQQ260218C00588000,0,44,28,17.26,17.44,17.62,16.02,,,,,,605.79
2026-02-18,2026-02-18,589,call,QQQ260218C00589000,0,82,17,16.26,16.44,16.62,15.92,,,,,,605.79
2026-02-18,2026-02-18,590,call,QQQ260218C00590000,0,257,119,15.25,15.43,15.61,16.18,,,,,,605.79
2026-02-18,2026-02-18,591,call,QQQ260218C00591000,0,171,44,14.26,14.44,14.62,14.44,,,,,,605.79
2026-02-18,2026-02-18,592,call,QQQ260218C00592000,0,599,251,13.26,13.44,13.62,13.45,,,,,,605.79
2026-02-18,2026-02-18,593,call,QQQ260218C00593000,0,442,356,12.26,12.44,12.62,11.49,,,,,,605.79
2026-02-18,2026-02-18,594,call,QQQ260218C00594000,0,636,498,11.25,11.43,11.61,11.47,,,,,,605.79
2026-02-18,2026-02-18,595,call,QQQ260218C00595000,0,1813,923,10.25,10.43,10.61,10.49,,,,,,605.79
2026-02-18,2026-02-18,596,call,QQQ260218C00596000,0,1854,447,9.25,9.43,9.61,9.5,,,,,,605.79
2026-02-18,2026-02-18,597,call,QQQ260218C00597000,0,1700,868,8.25,8.43,8.61,8.55,,,,,,605.79
2026-02-18,2026-02-18,598,call,QQQ260218C00598000,0,1132,1504,7.25,7.43,7.61,7.56,,,,,,605.79
2026-02-18,2026-02-18,599,call,QQQ260218C00599000,0,1882,1470,6.24,6.425,6.61,6.51,,,,,,605.79
2026-02-18,2026-02-18,600,call,QQQ260218C00600000,0,4551,8416,5.25,5.41,5.57,5.5,,,,,,605.79
2026-02-18,2026-02-18,601,call,QQQ260218C00601000,0,2036,10034,4.25,4.43,4.61,4.5,,,,,,605.79
2026-02-18,2026-02-18,602,call,QQQ260218C00602000,0,3256,32268,3.25,3.43,3.61,3.5,,,,,,605.79
2026-02-18,2026-02-18,603,call,QQQ260218C00603000,0,2722,50416,2.26,2.44,2.62,2.45,,,,,,605.79
2026-02-18,2026-02-18,604,call,QQQ260218C00604000,0,2143,88727,1.29,1.425,1.56,1.44,,,,,,605.79
2026-02-18,2026-02-18,605,call,QQQ260218C00605000,0,5289,155656,0.51,0.545,0.58,0.49,,,,,,605.79
2026-02-18,2026-02-18,606,call,QQQ260218C00606000,0,2539,135244,0.04,0.05,0.06,0.05,,,,,,605.79
2026-02-18,2026-02-18,607,call,QQQ260218C00607000,0,2801,159766,0.01,0.015,0.02,0.01,,,,,,605.79
2026-02-18,2026-02-18,608,call,QQQ260218C00608000,0,8164,196735,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,609,call,QQQ260218C00609000,0,2341,210727,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,610,call,QQQ260218C00610000,0,5367,189334,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,611,call,QQQ260218C00611000,0,4511,86970,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,612,call,QQQ260218C00612000,0,2684,53697,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,613,call,QQQ260218C00613000,0,2279,24149,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,614,call,QQQ260218C00614000,0,3137,16030,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,615,call,QQQ260218C00615000,0,6198,15299,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,616,call,QQQ260218C00616000,0,1798,7280,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,617,call,QQQ260218C00617000,0,2770,6742,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,618,call,QQQ260218C00618000,0,2375,1267,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,619,call,QQQ260218C00619000,0,1356,557,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,620,call,QQQ260218C00620000,0,1873,1750,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,621,call,QQQ260218C00621000,0,1791,197,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,622,call,QQQ260218C00622000,0,870,179,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,623,call,QQQ260218C00623000,0,827,41,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,624,call,QQQ260218C00624000,0,1679,81,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,625,call,QQQ260218C00625000,0,3458,94,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,626,call,QQQ260218C00626000,0,2801,2,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,627,call,QQQ260218C00627000,0,456,12,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,628,call,QQQ260218C00628000,0,679,10,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,629,call,QQQ260218C00629000,0,381,1,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,630,call,QQQ260218C00630000,0,930,52,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,631,call,QQQ260218C00631000,0,658,2,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,632,call,QQQ260218C00632000,0,438,0,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,633,call,QQQ260218C00633000,0,354,1,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,634,call,QQQ260218C00634000,0,629,0,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,635,call,QQQ260218C00635000,0,2959,7,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,636,call,QQQ260218C00636000,0,935,0,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,637,call,QQQ260218C00637000,0,451,0,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,638,call,QQQ260218C00638000,0,375,0,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,639,call,QQQ260218C00639000,0,534,0,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,575,put,QQQ260218P00575000,0,3491,1441,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,579,put,QQQ260218P00579000,0,1400,969,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,580,put,QQQ260218P00580000,0,3584,3192,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,581,put,QQQ260218P00581000,0,2678,3774,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,582,put,QQQ260218P00582000,0,1378,1627,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,583,put,QQQ260218P00583000,0,3242,1570,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,584,put,QQQ260218P00584000,0,2061,4566,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,585,put,QQQ260218P00585000,0,6435,5327,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,586,put,QQQ260218P00586000,0,1547,6246,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,587,put,QQQ260218P00587000,0,2452,3762,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,588,put,QQQ260218P00588000,0,3093,5783,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,589,put,QQQ260218P00589000,0,3105,5569,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,590,put,QQQ260218P00590000,0,5969,20180,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,591,put,QQQ260218P00591000,0,2585,6818,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,592,put,QQQ260218P00592000,0,4952,10693,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,593,put,QQQ260218P00593000,0,3886,47744,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,594,put,QQQ260218P00594000,0,3084,13489,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,595,put,QQQ260218P00595000,0,3798,27809,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,596,put,QQQ260218P00596000,0,3008,16585,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,597,put,QQQ260218P00597000,0,2292,21113,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,598,put,QQQ260218P00598000,0,4107,32429,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,599,put,QQQ260218P00599000,0,2729,28735,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,600,put,QQQ260218P00600000,0,6148,85836,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,601,put,QQQ260218P00601000,0,4259,64905,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,602,put,QQQ260218P00602000,0,1951,95094,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,603,put,QQQ260218P00603000,0,1752,106721,0.0,0.005,0.01,0.01,,,,,,605.79
2026-02-18,2026-02-18,604,put,QQQ260218P00604000,0,1930,133495,0.01,0.015,0.02,0.01,,,,,,605.79
2026-02-18,2026-02-18,605,put,QQQ260218P00605000,0,1904,200736,0.09,0.1,0.11,0.11,,,,,,605.79
2026-02-18,2026-02-18,606,put,QQQ260218P00606000,0,357,174546,0.59,0.625,0.66,0.65,,,,,,605.79
2026-02-18,2026-02-18,607,put,QQQ260218P00607000,0,605,208835,1.5,1.625,1.75,1.75,,,,,,605.79
2026-02-18,2026-02-18,608,put,QQQ260218P00608000,0,553,236524,2.52,2.63,2.74,2.62,,,,,,605.79
2026-02-18,2026-02-18,609,put,QQQ260218P00609000,0,512,152002,3.41,3.58,3.75,3.54,,,,,,605.79
2026-02-18,2026-02-18,610,put,QQQ260218P00610000,0,1936,59993,4.39,4.57,4.75,4.47,,,,,,605.79
2026-02-18,2026-02-18,611,put,QQQ260218P00611000,0,464,11837,5.39,5.57,5.75,5.56,,,,,,605.79
2026-02-18,2026-02-18,612,put,QQQ260218P00612000,0,648,6192,6.39,6.57,6.75,6.43,,,,,,605.79
2026-02-18,2026-02-18,613,put,QQQ260218P00613000,0,75,1437,7.39,7.57,7.75,7.66,,,,,,605.79
2026-02-18,2026-02-18,614,put,QQQ260218P00614000,0,8,764,8.39,8.57,8.75,8.63,,,,,,605.79
2026-02-18,2026-02-18,615,put,QQQ260218P00615000,0,5,1127,9.39,9.575,9.76,9.4,,,,,,605.79
2026-02-18,2026-02-18,616,put,QQQ260218P00616000,0,5,38,10.39,10.57,10.75,10.3,,,,,,605.79
2026-02-18,2026-02-18,617,put,QQQ260218P00617000,0,3,1189,11.39,11.57,11.75,10.89,,,,,,605.79
2026-02-18,2026-02-18,618,put,QQQ260218P00618000,0,3,19,12.39,12.57,12.75,11.5,,,,,,605.79
2026-02-18,2026-02-18,619,put,QQQ260218P00619000,0,4,2,13.39,13.57,13.75,16.91,,,,,,605.79
2026-02-18,2026-02-18,620,put,QQQ260218P00620000,0,0,517,14.39,14.57,14.75,15.7,,,,,,605.79
2026-02-18,2026-02-18,621,put,QQQ260218P00621000,0,0,6,15.39,15.57,15.75,13.73,,,,,,605.79
2026-02-18,2026-02-18,622,put,QQQ260218P00622000,0,1,1,16.39,16.57,16.75,15.11,,,,,,605.79
2026-02-18,2026-02-18,623,put,QQQ260218P00623000,0,0,1822,17.39,17.57,17.75,14.32,,,,,,605.79
2026-02-18,2026-02-18,624,put,QQQ260218P00624000,0,0,1825,18.39,18.57,18.75,15.27,,,,,,605.79
2026-02-18,2026-02-18,625,put,QQQ260218P00625000,0,0,9,19.39,19.57,19.75,17.8,,,,,,605.79
2026-02-18,2026-02-18,626,put,QQQ260218P00626000,0,0,5,20.39,20.57,20.75,22.68,,,,,,605.79
2026-02-18,2026-02-18,627,put,QQQ260218P00627000,0,0,91,21.39,21.57,21.75,19.32,,,,,,605.79
2026-02-18,2026-02-18,628,put,QQQ260218P00628000,0,0,95,22.39,22.57,22.75,20.27,,,,,,605.79
2026-02-18,2026-02-18,629,put,QQQ260218P00629000,0,0,378,23.39,23.57,23.75,20.38,,,,,,605.79
2026-02-18,2026-02-18,630,put,QQQ260218P00630000,0,2,545,24.39,24.57,24.75,24.55,,,,,,605.79
2026-02-18,2026-02-18,631,put,QQQ260218P00631000,0,0,0,23.57,25.355,27.14,34.95,,,,,,605.79
2026-02-18,2026-02-18,632,put,QQQ260218P00632000,0,0,20,24.57,26.355,28.14,25.66,,,,,,605.79
2026-02-18,2026-02-18,633,put,QQQ260218P00633000,0,0,0,25.57,27.355,29.14,0.0,,,,,,605.79
2026-02-18,2026-02-18,634,put,QQQ260218P00634000,0,0,1186,26.57,28.355,30.14,28.49,,,,,,605.79
2026-02-18,2026-02-18,635,put,QQQ260218P00635000,0,0,1186,27.57,29.585,31.6,29.43,,,,,,605.79
2026-02-18,2026-02-18,636,put,QQQ260218P00636000,0,0,0,28.57,30.35,32.13,0.0,,,,,,605.79
2026-02-18,2026-02-18,637,put,QQQ260218P00637000,0,0,2,29.57,31.35,33.13,29.02,,,,,,605.79
2026-02-18,2026-02-18,638,put,QQQ260218P00638000,0,0,0,30.57,32.35,34.13,0.0,,,,,,605.79
2026-02-18,2026-02-18,639,put,QQQ260218P00639000,0,0,0,31.57,33.35,35.13,25.5,,,,,,605.79
2026-02-18,2026-02-19,575,call,QQQ260219C00575000,1,3,370,28.57,30.49,32.41,29.48,,,,,,605.79
2026-02-18,2026-02-19,580,call,QQQ260219C00580000,1,43,61,23.62,25.08,26.54,24.26,,,,,,605.79
2026-02-18,2026-02-19,585,call,QQQ260219C00585000,1,24,7,18.98,20.27,21.56,21.9,,,,,,605.79
2026-02-18,2026-02-19,590,call,QQQ260219C00590000,1,229,193,15.5,15.655,15.81,16.24,,,,,,605.79
2026-02-18,2026-02-19,594,call,QQQ260219C00594000,1,289,25,11.73,11.865,12.0,12.03,,,,,,605.79
2026-02-18,2026-02-19,595,call,QQQ260219C00595000,1,520,277,10.89,10.95,11.01,11.1,,,,,,605.79
2026-02-18,2026-02-19,596,call,QQQ260219C00596000,1,544,317,9.99,10.045,10.1,10.21,,,,,,605.79
2026-02-18,2026-02-19,597,call,QQQ260219C00597000,1,512,484,9.11,9.16,9.21,9.3,,,,,,605.79
2026-02-18,2026-02-19,598,call,QQQ260219C00598000,1,412,334,8.24,8.29,8.34,8.33,,,,,,605.79
2026-02-18,2026-02-19,599,call,QQQ260219C00599000,1,1015,499,7.4,7.445,7.49,7.51,,,,,,605.79
2026-02-18,2026-02-19,600,call,QQQ260219C00600000,1,1173,2792,6.62,6.635,6.65,6.65,,,,,,605.79
2026-02-18,2026-02-19,601,call,QQQ260219C00601000,1,600,2808,5.8,5.835,5.87,5.87,,,,,,605.79
2026-02-18,2026-02-19,602,call,QQQ260219C00602000,1,1344,4788,5.06,5.075,5.09,5.06,,,,,,605.79
2026-02-18,2026-02-19,603,call,QQQ260219C00603000,1,750,7551,4.34,4.355,4.37,4.35,,,,,,605.79
2026-02-18,2026-02-19,604,call,QQQ260219C00604000,1,1418,14186,3.66,3.67,3.68,3.67,,,,,,605.79
2026-02-18,2026-02-19,605,call,QQQ260219C00605000,1,2311,24378,3.03,3.04,3.05,3.06,,,,,,605.79
2026-02-18,2026-02-19,606,call,QQQ260219C00606000,1,920,17298,2.44,2.445,2.45,2.36,,,,,,605.79
2026-02-18,2026-02-19,607,call,QQQ260219C00607000,1,1505,20705,1.9,1.91,1.92,1.9,,,,,,605.79
